公司統編,公司名稱,縣市別代碼,公司地址,設立日期
53624770,林本堂股份有限公司,10019,臺中市霧峰區民生路39號3樓,0390111
51386702,威石東股份有限公司,10019,臺中市大肚區南榮路59號1樓,0440521
51708416,裕大企業股份有限公司,10019,臺中市中區大誠里臺灣大道1段501號4樓之1,0531231
51842700,豪宮大飯店有限公司,10019,臺中市中區光復路115號,0561127
57073951,東興振業股份有限公司,10019,臺中市西屯區大墩十九街30號1樓,0570203
56079963,吉士多有限公司,10019,臺中市沙鹿區大同街92號,0590613
55789207,東谷旅遊事業有限公司,10019,臺中市和平區東關路一段溫泉巷8之1號,0601228
52252940,威特企業股份有限公司,10019,臺中市西屯區大河里大鵬路88號,0630226
52428292,黃埔七五旅店股份有限公司,10019,臺中市西區五權路203號,0641013
52505895,王冠大飯店有限公司,10019,臺中市東區十甲里自由路四段235巷39號1樓,0660117
52430213,一心食品股份有限公司,10019,臺中市西屯區何成里大容東街98號1樓,0660224
52612656,前安實業股份有限公司,10019,臺中市南屯區鎮平里鎮平巷11號,0690508
52628593,全一大旅館有限公司,10019,臺中市南區復興路二段74之18號,0690805
52677088,福臨門實業股份有限公司,10019,臺中市西區忠誠里忠明路97號1樓,0710303
52809927,偉孚興業股份有限公司,10019,臺中市西屯區協和里工業區五路4號,0720421
05503537,紅屋家居股份有限公司,10019,臺中市石岡區石城街27號1樓,0730409
23200037,皇品餐廳有限公司,10019,臺中市大甲區太白里通天路39號,0740317
52930667,三風食品工業股份有限公司,10019,臺中市大雅區大楓里民富街114號,0740319
22000193,通豪大飯店股份有限公司,10019,臺中市北區中清路一段521號1樓,0750116
22118799,寶熊漁具股份有限公司,10019,臺中市潭子區潭秀里中山路三段11號,0750428
22138991,榮鴻事業有限公司,10019,臺中市南屯區文心南一路197號1樓,0750527
22301846,昌園股份有限公司,10019,臺中市北屯區三和里東山路一段138巷28號1樓,0751120
22414551,名門實業有限公司,10019,臺中市西屯區林厝里福林路428號7樓,0760326
22505095,東峰育樂事業有限公司,10019,臺中市北屯區大坑里東山路二段132之15號1樓,0760525
22598925,企業家旅館有限公司,10019,臺中市東區和平街160號1至4樓與和平街158巷7號1至6樓,0760917
22820002,誠昌企業股份有限公司,10019,臺中市太平區大興路361號,0770326
22820592,大安建設事業股份有限公司,10019,臺中市南區忠明南路789號42樓,0770412
23087181,卡但屋食品有限公司,10019,臺中市北區淡溝里民權路408號,0771102
23237695,連文企業有限公司,10019,臺中市西屯區臺灣大道三段525號4樓,0780410
23376561,金座有限公司,10019,臺中市北區六合里成功路469號地下層,0780624
23800763,全國高爾夫實業股份有限公司,10019,臺中市西區公益路155巷9號11樓之2,0790704
23849604,莎哇第企業股份有限公司,10019,臺中市西區後龍里五權路１３３號,0790910
23982139,喬喬食品股份有限公司,10019,臺中市沙鹿區大同街１４之２號１樓,0800204
86097968,領先建設股份有限公司,10019,臺中市西區民龍里臺灣大道二段186號5樓之3,0800328
86188257,驛站企業股份有限公司,10019,臺中市南區忠明南路760號33樓,0800516
86249368,育崧股份有限公司,10019,臺中市南屯區干城街328號2樓之1,0800729
86330228,春水堂實業股份有限公司,10019,臺中市西區忠誠里大墩19街9號,0800904
86347282,名典實業有限公司,10019,臺中市豐原區西安里瑞安街21號,0800926
86396945,碧根開發建設股份有限公司,10019,臺中市西屯區福星路427號10樓,0801114
86424793,金陵山企業股份有限公司,10019,臺中市霧峰區峰谷路900號1樓,0801213
86617686,羽陽行實業有限公司,10019,臺中市北屯區和祥六街15號1樓,0810414
86665032,福霖園藝有限公司,10019,臺中市南屯區南屯里黎明路一段1008號1樓,0810520
86762479,永椿園藝有限公司,10019,臺中市太平區黃竹里竹正路6號,0810619
86826683,鄉中村有限公司,10019,臺中市沙鹿區沙田路42號,0810814
86942542,山鄉股份有限公司,10019,臺中市梧棲區南簡里中央路二段342之1號,0810919
84162345,老樹根實業有限公司,10019,臺中市南區樹義里樹義路63號,0820114
84200431,榮林事業股份有限公司,10019,臺中市北區台中港路一段242號6樓之3,0820305
84442769,大買家股份有限公司,10019,臺中市西區大隆路20號14樓之8,0820601
84435578,新天地國際實業股份有限公司,10019,臺中市東區旱溪東路1段456號1樓之1、1樓之2、2、3樓及地下一層,0820719
84560809,尚仟國際有限公司,10019,臺中市西屯區大石里順平一街16號,0820920
84576197,昇珀有限公司,10019,臺中市南屯區向心南路905巷14號1樓,0821007
84589242,浦昇實業有限公司,10019,臺中市東區和平街158巷7號1樓,0821021
84609508,雨利行生化科技實業有限公司,10019,臺中市石岡區萬興里豐勢路721號1樓,0821111
84310492,台灣產健股份有限公司,10019,臺中市西屯區文心路3段296之1號1樓,0830411
84961608,通豪建築開發股份有限公司,10019,臺中市北區健行路371之13號,0830607
84919932,海灣國際開發股份有限公司,10019,臺中市西區大和路22號3樓,0830719
89843308,逸淦企業有限公司,10019,臺中市西區太原路一段174號1樓,0830908
89861240,里得實業有限公司,10019,臺中市北區育德里美德街430號1樓,0830926
89302078,通勇營造有限公司,10019,臺中市南區福興里南平路296號7樓之2,0840113
89508753,大中育樂事業股份有限公司,10019,臺中市東區十甲里旱溪街357號,0840508
89596101,臺灣亞銳士股份有限公司,10019,臺中市西屯區台灣大道四段839號6樓,0840814
89788467,安可喬治股份有限公司,10019,臺中市南屯區向心里文心南路16號1樓,0841123
96867183,月眉國際開發股份有限公司,10019,臺中市后里區福容路3號,0850205
96887456,盟鑫工業股份有限公司,10019,臺中市梧棲區草湳里經三路33號,0850307
97002671,玖鳴藝術股份有限公司,10019,臺中市北屯區大坑里東山路二段78-1號1樓,0850510
97181409,台灣芭蒂葛蘭國際有限公司,10019,臺中市西區忠誠里臺灣大道二段531號1樓,0850805
97201587,志達實業股份有限公司,10019,臺中市西區美村路一段272號,0850827
97220043,弘爺國際企業股份有限公司,10019,臺中市烏日區溪埧里溪福路128巷50號2樓,0850917
97241130,林億實業股份有限公司,10019,臺中市西屯區何明里大有一街4號1樓,0851016
97269523,亙古國際開發事業有限公司,10019,臺中市西屯區惠來里市政北一路17號,0851123
97275763,若茵有限公司,10019,臺中市和平區中坑里中坑路中坑巷2之16號,0851129
97351733,竹林雅緻商務汽車旅館股份有限公司,10019,臺中市南屯區惠中里大觀路19巷20號及20之1至之26號1、2樓（缺之4、之13、之14、之24號)、20之27號、20號2樓之1 至之五(缺之4)、20之15號3樓之1 至之2、20之27號3樓,0851231
97367377,安珈國際股份有限公司,10019,臺中市烏日區溪壩里環中路八段501巷169號1樓,0860123
97400827,宏曄餐飲股份有限公司,10019,臺中市豐原區豐陽路115號,0860317
16072606,遠流興業股份有限公司,10019,臺中市西區公益路161號6樓之3,0860722
16193812,卞帝亞汽車旅館股份有限公司,10019,臺中市西屯區惠來里市政北二路51號1至2樓,0860812
16202951,勝騏食品工廠有限公司,10019,臺中市大雅區中山北路3號1樓,0860822
16239916,諾貝爾有限公司,10019,臺中市大甲區順天里三民路60號2樓,0861009
16243931,栗銘股份有限公司,10019,臺中市潭子區栗林里中山路三段409號,0861015
16264386,有幾園生物科技股份有限公司,10019,臺中市梧棲區港埠路一段537號,0861110
16410867,美食園事業有限公司,10019,臺中市后里區舊社里三重二路35號1樓,0870325
16518425,品康企業有限公司,10019,臺中市南屯區向心里向心南路905巷14號1樓,0870604
16533690,惠來谷關溫泉會館股份有限公司,10019,臺中市和平區東關路一段溫泉巷10號,0870623
16545507,彰三傳播事業有限公司,10019,臺中市北屯區忠平里敦化路456號12樓,0870709
16556829,特寧食品股份有限公司,10019,臺中市西屯區福雅里永福路20號2樓,0870724
16653287,中陽物流股份有限公司,10019,臺中市西區大隆路20號14樓之1,0870911
16755215,桃花源股份有限公司,10019,臺中市北區臺灣大道二段360號5樓之3,0871017
16715713,注春有限公司,10019,臺中市南屯區寶山里工業區22路53號1樓,0871218
16881418,分盈股份有限公司,10019,臺中市西屯區朝馬三街12號1、2樓,0880330
16941112,新藝造園事業有限公司,10019,臺中市豐原區豐圳里建成路33號,0880614
16960829,廣鐸企業有限公司,10019,臺中市北屯區豐樂路2段266號1樓,0880715
16964613,峰智景觀工程有限公司,10019,臺中市北屯區松竹里崇德五路52號1樓,0880721
16984961,錦有企業有限公司,10019,臺中市西區太原路一段184之6號1樓,0880818
16992667,書堤文化事業有限公司,10019,臺中市大雅區學府路250巷96號一樓,0880827
70634294,和樂商務旅館有限公司,10019,臺中市西屯區朝馬路21號,0881002
70653242,美喬國際有限公司,10019,臺中市北區錦平里中華路二段130之1號1樓,0881102
16818555,山汰科技股份有限公司,10019,臺中市南屯區三義里黎明路二段599號3樓,0881120
70669315,通隆建築開發股份有限公司,10019,臺中市北區健行路737號1樓,0881201
70694068,寶展有限公司,10019,臺中市西屯區何仁里天水西六街29號1樓,0890118
70704544,維新物業管理維護股份有限公司,10019,臺中市西區忠誠里忠明南路40號12樓,0890209
70723726,風尚人文咖啡有限公司,10019,臺中市西屯區何厝東二街23號3樓之2,0890316
70489502,麗加園邸酒店股份有限公司,10019,臺中市西區公益路111號1至5樓及模範街37、39號1至5樓,0890419
70502630,唐朝生活事業有限公司,10019,臺中市南屯區大同里東興路二段一五○號一樓,0890508
70513432,華梵禮儀有限公司,10019,臺中市北區金龍里健行路46號1樓,0890523
70529096,豐豪食品有限公司,10019,臺中市南屯區文山里保安九街143號1樓,0890613
70606847,辰谷育樂事業股份有限公司,10019,臺中市清水區民治東路六七號,0890724
12627149,彭村梅國際美容事業股份有限公司,10019,臺中市南屯區大興里文心南三路220號及222號,0891002
12642916,合浦興業有限公司,10019,臺中市大里區內新里新明路32號,0891027
12704790,奧斯汀企管顧問有限公司,10019,臺中市東區富台里富台街二八號二樓,0891117
12725612,艾立印企業有限公司,10019,臺中市西屯區烈美街81號1樓,0891221
12677724,台灣比菲多食品股份有限公司,10019,臺中市北區淡溝里臺灣大道二段360號5樓之1,0900102
12683198,台灣比菲多醱酵股份有限公司,10019,臺中市北區淡溝里臺灣大道二段360號5樓之1,0900201
12762088,台大加油站股份有限公司,10019,臺中市神岡區社南里民生路119號,0900309
12779969,寶禎興業股份有限公司,10019,臺中市東區東南里進化路182號1樓,0900409
12780760,俠客國際股份有限公司,10019,臺中市北屯區安順二街八五號三樓,0900410
12856830,新社農業生物科技股份有限公司,10019,臺中市新社區協成里協中街167-1號,0900424
12798207,廣三崇光國際開發股份有限公司,10019,臺中市西區臺灣大道二段459號、459號2-19樓及底一層地下2、3、4層、459之1號1-5樓及底一層,0900508
12808373,乾旭企業有限公司,10019,臺中市南屯區大墩四街456號1樓,0900523
13149390,波那諾食品實業有限公司,10019,臺中市西區公益路一六五號　,0900530
12833513,邦勝國際有限公司,10019,臺中市太平區新坪里太順路345號1樓,0900709
12849233,仁人國際股份有限公司,10019,臺中市西屯區逢甲路253巷33號,0900807
12884667,元和記貿易有限公司,10019,臺中市西區公益路188號1樓,0900816
12895572,嘉里興業股份有限公司,10019,臺中市神岡區中山路801之21號,0900905
12899660,建良環保企業有限公司,10019,臺中市烏日區五光路930巷21號1樓,0900914
12916133,崇正宏股份有限公司,10019,臺中市太平區建興北路45巷38號1樓,0901022
12918532,遠宇生技股份有限公司,10019,臺中市西屯區惠來里惠來路三段148號1樓,0901026
12982436,麒麟峰溫泉股份有限公司,10019,臺中市北屯區東山路2段65巷15號,0901127
13002662,永辛企業有限公司,10019,臺中市北區文莊里中清路一段89號15樓之6,0910102
13007723,大富豪鐵板燒有限公司,10019,臺中市西區英才路593號1樓,0910110
13016618,酷派音樂有限公司,10019,臺中市東區東勢里精武路102號,0910125
13024820,安蘭居餐廳股份有限公司,10019,臺中市西區忠明里中興街247號1、2樓及地下一樓,0910206
13045402,好師父房地產開發有限公司,10019,臺中市南屯區文山里3鄰文山東巷11之27號,0910318
13073238,龍鼎科技有限公司,10019,臺中市豐原區大湳里大仁街11號1樓,0910422
13077403,中投蔬果有限公司,10019,臺中市南區樹義里樹義二街22號1樓,0910425
79965111,吉米食品有限公司,10019,臺中市外埔區鐵山里長生路265號,0910522
79973294,布藍里餐飲事業有限公司,10019,臺中市北區漢口路四段383號1樓、2樓,0910603
79980957,奇佳餐飲管理顧問有限公司,10019,臺中市南屯區三厝里大墩十一街597號1樓,0910613
80222145,昱詮興企業有限公司,10019,臺中市南屯區文心南三路537號6樓,0910731
80228181,大毅行旅股份有限公司,10019,臺中市西區安龍里英才路601號,0910809
80255095,德語建設股份有限公司,10019,臺中市西屯區崇義街二之五號一樓,0910919
80052916,左上角企劃顧問有限公司,10019,臺中市西區五權一街70號2樓,0911004
80058714,若水堂股份有限公司,10019,臺中市龍井區新東里臺灣大道五段43-3號2樓,0911014
80063441,楓采休閒商務汽車旅館有限公司,10019,臺中市豐原區南陽里19鄰永康路211巷25弄76號,0911021
80078649,鼎巨畜產科技有限公司,10019,臺中市南屯區惠中里大墩十二街377號1樓,0911112
80085402,環福新業有限公司,10019,臺中市外埔區甲后路377巷10號2樓,0911121
80302576,大地再造股份有限公司,10019,臺中市太平區建國里精美路353號2樓,0911204
80109410,好站網控電子商務有限公司,10019,臺中市北屯區文心路4段955號11樓之1,0911225
80124377,瑭豐開發股份有限公司,10019,臺中市西屯區上安路295號3樓,0920120
80127965,鑌懋實業有限公司,10019,臺中市北屯區昌平路一段388號9樓之2,0920124
80133158,湖水岸餐飲股份有限公司,10019,臺中市北屯區平安里崇德路二段50號,0920206
80136985,御寶系統廚櫃股份有限公司,10019,臺中市東區旱溪里旱溪五街11之1號,0920213
80140263,沙連墩社會企業有限公司,10019,臺中市北屯區仁美里豐樂路10之12巷8之7號,0920220
80007791,學園有限公司,10019,臺中市西屯區工業區六路18之1號3樓,0920311
80038295,好頭鹿國際實業有限公司,10019,臺中市神岡區大社里大社街110巷7號,0920331
80043023,又一家養生藥膳館有限公司,10019,臺中市西屯區中工三路190之1號2樓,0920404
80044022,果鋒食品有限公司,10019,臺中市南屯區豐樂里文心南三路745號1樓,0920404
80044938,誠基建設有限公司,10019,臺中市西屯區安和路189巷10號4樓,0920407
80318900,麗田建設股份有限公司,10019,臺中市西屯區上安里上明一街10號1樓,0920423
80391459,雅朋室內裝修工程有限公司,10019,臺中市豐原區圓環北路2段263號,0920508
80393421,遠立宏有限公司,10019,臺中市北區進化北路129號1樓,0920512
80405051,康士濰國際股份有限公司,10019,臺中市北區健行里忠明路424號2樓之3,0920527
80426112,千甲聚頤資產開發有限公司,10019,臺中市豐原區翁明里水源路745號1樓　,0920624
80440894,哈密瓜旅館股份有限公司,10019,臺中市中區臺灣大道一段19號6樓、7樓、8樓、9樓、10樓、11樓、12樓,0920715
80445700,日盛牛肉股份有限公司,10019,臺中市北區新北里雙十路二段23號1及2樓、北區新北里錦新街3號1及2樓,0920722
80456380,新安開發事業股份有限公司,10019,臺中市太平區光華里大興路361號,0920805
80465938,維明開發股份有限公司,10019,臺中市西區精誠路19號地下一層之1,0920819
80472608,福爾摩薩國際事業有限公司,10019,臺中市太平區樹孝路115巷6之6號10樓,0920828
80478027,禮賢興業有限公司,10019,臺中市南屯區南屯里南屯路二段826號1樓,0920904
80562621,麻葉餐飲食品有限公司,10019,臺中市北屯區仁和里崇德路三段197號2樓,0921009
